,#,Pokémon,Type,HP,ATK,DEF,Sp.ATK,Sp.DEF,SPD,Total,URLs
0,001,Bulbasaur,"['Grass', 'Poison']",45,49,49,65,65,45,318,https://img.pokemondb.net/sprites/sword-shield/icon/bulbasaur.png
1,002,Ivysaur,"['Grass', 'Poison']",60,62,63,80,80,60,405,https://img.pokemondb.net/sprites/sword-shield/icon/ivysaur.png
2,003,Venusaur,"['Grass', 'Poison']",80,82,83,100,100,80,525,https://img.pokemondb.net/sprites/sword-shield/icon/venusaur.png
3,003,Mega Venusaur,"['Grass', 'Poison']",80,100,123,122,120,80,625,https://img.pokemondb.net/sprites/sword-shield/icon/venusaur-mega.png
4,004,Charmander,['Fire'],39,52,43,60,50,65,309,https://img.pokemondb.net/sprites/sword-shield/icon/charmander.png
5,005,Charmeleon,['Fire'],58,64,58,80,65,80,405,https://img.pokemondb.net/sprites/sword-shield/icon/charmeleon.png
6,006,Charizard,"['Fire', 'Flying']",78,84,78,109,85,100,534,https://img.pokemondb.net/sprites/sword-shield/icon/charizard.png
7,006,Mega Charizard X,"['Fire', 'Dragon']",78,130,111,130,85,100,634,https://img.pokemondb.net/sprites/sword-shield/icon/charizard-mega-x.png
8,006,Mega Charizard Y,"['Fire', 'Flying']",78,104,78,159,115,100,634,https://img.pokemondb.net/sprites/sword-shield/icon/charizard-mega-y.png
9,007,Squirtle,['Water'],44,48,65,50,64,43,314,https://img.pokemondb.net/sprites/sword-shield/icon/squirtle.png
10,008,Wartortle,['Water'],59,63,80,65,80,58,405,https://img.pokemondb.net/sprites/sword-shield/icon/wartortle.png
11,009,Blastoise,['Water'],79,83,100,85,105,78,530,https://img.pokemondb.net/sprites/sword-shield/icon/blastoise.png
12,009,Mega Blastoise,['Water'],79,103,120,135,115,78,630,https://img.pokemondb.net/sprites/sword-shield/icon/blastoise-mega.png
13,010,Caterpie,['Bug'],45,30,35,20,20,45,195,https://img.pokemondb.net/sprites/sword-shield/icon/caterpie.png
14,011,Metapod,['Bug'],50,20,55,25,25,30,205,https://img.pokemondb.net/sprites/sword-shield/icon/metapod.png
15,012,Butterfree,"['Bug', 'Flying']",60,45,50,90,80,70,395,https://img.pokemondb.net/sprites/sword-shield/icon/butterfree.png
16,013,Weedle,"['Bug', 'Poison']",40,35,30,20,20,50,195,https://img.pokemondb.net/sprites/sword-shield/icon/weedle.png
17,014,Kakuna,"['Bug', 'Poison']",45,25,50,25,25,35,205,https://img.pokemondb.net/sprites/sword-shield/icon/kakuna.png
18,015,Beedrill,"['Bug', 'Poison']",65,90,40,45,80,75,395,https://img.pokemondb.net/sprites/sword-shield/icon/beedrill.png
19,015,Mega Beedrill,"['Bug', 'Poison']",65,150,40,15,80,145,495,https://img.pokemondb.net/sprites/sword-shield/icon/beedrill-mega.png
20,016,Pidgey,"['Normal', 'Flying']",40,45,40,35,35,56,251,https://img.pokemondb.net/sprites/sword-shield/icon/pidgey.png
21,017,Pidgeotto,"['Normal', 'Flying']",63,60,55,50,50,71,349,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeotto.png
22,018,Pidgeot,"['Normal', 'Flying']",83,80,75,70,70,101,479,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot.png
23,018,Mega Pidgeot,"['Normal', 'Flying']",83,80,80,135,80,121,579,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot-mega.png
24,019,Rattata,['Normal'],30,56,35,25,35,72,253,https://img.pokemondb.net/sprites/sword-shield/icon/rattata.png
25,019,Alolan Rattata,"['Dark', 'Normal']",30,56,35,25,35,72,253,https://img.pokemondb.net/sprites/sword-shield/icon/rattata-alolan.png
26,020,Raticate,['Normal'],55,81,60,50,70,97,413,https://img.pokemondb.net/sprites/sword-shield/icon/raticate.png
27,020,Alolan Raticate,"['Dark', 'Normal']",75,71,70,40,80,77,413,https://img.pokemondb.net/sprites/sword-shield/icon/raticate-alolan.png
28,021,Spearow,"['Normal', 'Flying']",40,60,30,31,31,70,262,https://img.pokemondb.net/sprites/sword-shield/icon/spearow.png
29,022,Fearow,"['Normal', 'Flying']",65,90,65,61,61,100,442,https://img.pokemondb.net/sprites/sword-shield/icon/fearow.png
30,023,Ekans,['Poison'],35,60,44,40,54,55,288,https://img.pokemondb.net/sprites/sword-shield/icon/ekans.png
31,024,Arbok,['Poison'],60,95,69,65,79,80,448,https://img.pokemondb.net/sprites/sword-shield/icon/arbok.png
32,025,Pikachu,['Electric'],35,55,40,50,50,90,320,https://img.pokemondb.net/sprites/sword-shield/icon/pikachu.png
33,025,Partner Pikachu,['Electric'],45,80,50,75,60,120,430,https://img.pokemondb.net/sprites/sword-shield/icon/pikachu-lets-go.png
34,026,Raichu,['Electric'],60,90,55,90,80,110,485,https://img.pokemondb.net/sprites/sword-shield/icon/raichu.png
35,026,Alolan Raichu,"['Electric', 'Psychic']",60,85,50,95,85,110,485,https://img.pokemondb.net/sprites/sword-shield/icon/raichu-alolan.png
36,027,Sandshrew,['Ground'],50,75,85,20,30,40,300,https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew.png
37,027,Alolan Sandshrew,"['Ice', 'Steel']",50,75,90,10,35,40,300,https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew-alolan.png
38,028,Sandslash,['Ground'],75,100,110,45,55,65,450,https://img.pokemondb.net/sprites/sword-shield/icon/sandslash.png
39,028,Alolan Sandslash,"['Ice', 'Steel']",75,100,120,25,65,65,450,https://img.pokemondb.net/sprites/sword-shield/icon/sandslash-alolan.png
